Nr.;Asmens kodas;Pavardė Vardas;Gimimo data;Lytis;Bylos Nr./Asm. vardinis Nr.;Klasė;Mokymosi programa;Pagrindinė mokymosi forma/būdas
1;51801111234;NAUJAPIRMAITIS ERDENIS;2018-01-11;vyras;N-1;1a;(101001101) Pradinio ugdymo programa;Grupinio mokymosi/Kasdienis
2;61802121234;NAUJAPIRMOKAITĖ DINGAILĖ;2018-02-12;moteris;N-2;1a;(101001101) Pradinio ugdymo programa;Grupinio mokymosi/Kasdienis
3;51893131234;NAUJAPIRMICKAS LAURYNAS;2018-03-13;vyras;N-3;1b;(101001101) Pradinio ugdymo programa;Grupinio mokymosi/Kasdienis
4;61804141234;NAUJAPIRMINAITĖ JUSTINA;2018-04-14;moteris;N-4;1b;(101001101) Pradinio ugdymo programa;Grupinio mokymosi/Kasdienis
5;61701011234;PIRMOKAITĖ VERENA;2017-01-01;moteris;P-1;2a;(101001101) Pradinio ugdymo programa;Grupinio mokymosi/Kasdienis
6;51702021234;PIRMAITIS EGIDIJUS;2017-02-02;vyras;P-2;2a;(101001101) Pradinio ugdymo programa;Grupinio mokymosi/Kasdienis
7;51703031234;PIRMICKAS GYTAUTAS DAUGIAVARDIS;2017-03-03;vyras;P-3;2b;(101001101) Pradinio ugdymo programa;Grupinio mokymosi/Kasdienis
8;61704041234;PIRMINAITĖ BURVILĖ;2017-04-04;moteris;P-4;2b;(101001101) Pradinio ugdymo programa;Grupinio mokymosi/Kasdienis
9;51605051234;ANTRAITIS PROTENIS;2016-05-05;vyras;A-1;3a;(101001101) Pradinio ugdymo programa;Grupinio mokymosi/Kasdienis
10;61606061234;ANTROKAITĖ INGRIDA DVIVARDĖ;2016-06-06;moteris;A-2;3a;(101001101) Pradinio ugdymo programa;Grupinio mokymosi/Kasdienis
11;51607071234;ANTRŪNAS STEPONAS;2016-07-07;vyras;A-3;3b;(101001101) Pradinio ugdymo programa;Grupinio mokymosi/Kasdienis
12;61608081234;ANTRINAITĖ VILGAUDĖ;2016-08-08;moteris;A-4;3b;(101001101) Pradinio ugdymo programa;Grupinio mokymosi/Kasdienis
13;61501021234;TREČIOKAITĖ BERTA;2015-01-02;moteris;T-1;4a;(101001101) Pradinio ugdymo programa;Grupinio mokymosi/Kasdienis
14;51502031234;TREČIAITIS GRIGALIUS;2015-02-03;vyras;T-2;4b;(101001101) Pradinio ugdymo programa;Grupinio mokymosi/Kasdienis
15;51503041234;TRETICKAS SIRTAUTAS;2015-03-04;vyras;T-3;4a;(101001101) Pradinio ugdymo programa;Grupinio mokymosi/Kasdienis
16;61504051234;TRETMINAITĖ MIRGA;2015-04-05;moteris;T-4;4b;(101001101) Pradinio ugdymo programa;Grupinio mokymosi/Kasdienis
