"Prisijungimo vardas";"Paskyra aktyvi";"ID";"Rodomas vardas";"Vardas";"Pavardė";"Pareigos";"Klasė";"Organizacija";"Biuras";"Miestas";"Šalis";"Darbuotojo ID";"Darbuotojo tipas";"Šaltinis";"Veiksmai";"MR_Pavardė_vardas";"MR_Gimimo_data";"MR_Lytis";"MR_Bylos Nr.";"MR_Klasė"
"verena.pirmokaite@eportfelis.net";"True";"de409039-b3a6-4dea-89c6-b30e99480fce";"Verena Pirmokaitė";"Verena";"Pirmokaitė";"1a klasės mokinė";"1a klasė";"Elektroninio portfelio bandymų mokykla";"2022-2023";"Kaunas";"Lithuania";;;"M365+MR";"Atnaujinti";"PIRMOKAITĖ VERENA";"2017-01-01";"moteris";"P-1";"2a"
"egidijus.pirmaitis@eportfelis.net";"True";"c9988f9e-e17d-4b42-81bb-28b89a583735";"Egidijus Pirmaitis";"Egidijus";"Pirmaitis";"1a klasės mokinys";"1a klasė";"Elektroninio portfelio bandymų mokykla";"2022-2023";"Kaunas";"Lithuania";;;"M365+MR";"Atnaujinti";"PIRMAITIS EGIDIJUS";"2017-02-02";"vyras";"P-2";"2a"
"daugiavardis.pirmickas@eportfelis.net";"True";"ca496eee-2fbd-4ccf-a393-d219bc9b1cee";"Daugiavardis Pirmickas";"Daugiavardis";"Pirmickas";"1b klasės mokinys";"1b klasė";"Elektroninio portfelio bandymų mokykla";"2022-2023";"Kaunas";"Lithuania";;;"M365+MR";"Atnaujinti";"PIRMICKAS GYTAUTAS DAUGIAVARDIS";"2017-03-03";"vyras";"P-3";"2b"
"burvile.pirminaite@eportfelis.net";"True";"3aace749-200e-40e8-9d39-4f3185a29718";"Burvilė Pirminaitė";"Burvilė";"Pirminaitė";"1b klasės mokinė";"1b klasė";"Elektroninio portfelio bandymų mokykla";"2022-2023";"Kaunas";"Lithuania";;;"M365+MR";"Atnaujinti";"PIRMINAITĖ BURVILĖ";"2017-04-04";"moteris";"P-4";"2b"
"protenis.antraitis@eportfelis.net";"True";"9e87200d-c793-4ae0-8721-ad6e961f36cf";"Protenis Antraitis";"Protenis";"Antraitis";"2a klasės mokinys";"2a klasė";"Elektroninio portfelio bandymų mokykla";"2022-2023";"Kaunas";"Lithuania";;;"M365+MR";"Atnaujinti";"ANTRAITIS PROTENIS";"2016-05-05";"vyras";"A-1";"3a"
"dvivarde.antrokaite@eportfelis.net";"True";"4da28687-9dbb-4eb9-be89-fa0ce1657c35";"Dvivardė Antrokaitė";"Dvivardė";"Antrokaitė";"2a klasės mokinė";"2a klasė";"Elektroninio portfelio bandymų mokykla";"2022-2023";"Kaunas";"Lithuania";;;"M365+MR";"Atnaujinti";"ANTROKAITĖ INGRIDA DVIVARDĖ";"2016-06-06";"moteris";"A-2";"3a"
"steponas.antrunas@eportfelis.net";"True";"57cf90c2-505c-47dc-8c8a-ef0dc1434cc9";"Steponas Antrūnas";"Steponas";"Antrūnas";"2b klasės mokinys";"2b klasė";"Elektroninio portfelio bandymų mokykla";"2022-2023";"Kaunas";"Lithuania";;;"M365+MR";"Atnaujinti";"ANTRŪNAS STEPONAS";"2016-07-07";"vyras";"A-3";"3b"
"vilgaude.antrinaite@eportfelis.net";"True";"eeec9e60-71cd-44ef-8e3e-9f5586cdd093";"Vilgaudė Antrinaitė";"Vilgaudė";"Antrinaitė";"2b klasės mokinė";"2b klasė";"Elektroninio portfelio bandymų mokykla";"2022-2023";"Kaunas";"Lithuania";;;"M365+MR";"Atnaujinti";"ANTRINAITĖ VILGAUDĖ";"2016-08-08";"moteris";"A-4";"3b"
"berta.treciokaite@eportfelis.net";"True";"dd1fc0f9-14a8-4c1d-8ff5-0bb29ef14ac2";"Berta Trečiokaitė";"Berta";"Trečiokaitė";"3a klasės mokinė";"3a klasė";"Elektroninio portfelio bandymų mokykla";"2022-2023";"Kaunas";"Lithuania";;;"M365+MR";"Atnaujinti";"TREČIOKAITĖ BERTA";"2015-01-02";"moteris";"T-1";"4a"
"grigalius.treciaitis@eportfelis.net";"True";"010607de-3cc7-490a-b4eb-b158a68550fd";"Grigalius Trečiaitis";"Grigalius";"Trečiaitis";"3a klasės mokinys";"3a klasė";"Elektroninio portfelio bandymų mokykla";"2022-2023";"Kaunas";"Lithuania";;;"M365+MR";"Atnaujinti";"TREČIAITIS GRIGALIUS";"2015-02-03";"vyras";"T-2";"4b"
